Stock,MV,MS,ML_MV
AAPL,7.298463379442656e-05,0.16964043079111019,0.10380460555027732
MSFT,0.12009465256961865,1.0516761073109393e-17,0.08269893385273058
GOOG,0.03887174060935942,0.0,0.1069683962944359
AMZN,0.6687871921888532,0.0,0.256902162513617
META,0.037819974546132444,1.734723475976807e-18,0.11313629165418095
JPM,0.0,0.0,0.05762880247084164
JNJ,0.0,0.20325123373473056,0.11573990312980909
XOM,0.0,0.3211345317932365,0.0393106723979871
TSLA,0.0045112256107963065,0.30597380368092286,0.02533764514071783
NVDA,0.1298422298414456,3.664603343001005e-17,0.09847258699540247
